,sentence,head,annotation_type,intensity,polarity,Owen,Amittai,Tyler
168,"Whereas, beforehand, it was anticipated and hoped that the agreements reached at Genoa would help bring about beneficial results for the Bonn conference as well.",agreements,agreement,medium,positive,,,
169,"When Italian police intervened and roughly handled the demonstrations, things got out of hand; the already volatile situation reached boiling point, violent clashes broke out, and the killing of one protestor overshadowed all other issues.",demonstrations,sentiment,medium-high,negative,,,
170,"What, however, was most remarkable in the conferences in New York and Genoa, was the fact that most decisions made, were based on interests and tastes of particular groups [lobbies].",interests,sentiment,low-medium,positive,,,
171,"After two weeks of discussion and exchange of views at the New York Conference, it was decided to pay heed to the resolute demands advanced by the majority of the participants, who emphatically insisted on the imposition of a ban on the sale of light weaponry.",resolute demands,sentiment,high,positive,,,
172,"But paying heed was not tantamount to endorsement of the demand launched by those countries; rather, the final result came out as a compromise solution and a relative back up by the majority group.",demand,sentiment,medium-high,positive,,,
173,Here are the views expressed by two of the prominent characters attending the Genoa Conference.,views expressed,arguing,low,positive,,,
174,"Critics of the meeting, on the margin of the conference, up held the view that the American government, instead of heeding the wishes of international community, and protecting the security of world nations, and above all the safety of its own citizens, has paid more attention to the interests of corporations and huge arms producers and military-industrial complexes that reap tremendous profits annually from the sale of such armaments.",wishes,sentiment,low-medium,positive,,,
175,"Even the eagerness for playing an intermediary role in the Middle East crisis has given rise to fierce competition between America, European Union, and Russia and China.",fierce competition,other_attitude,high,,,,
176,"What, however, was most remarkable in the conferences in New York and Genoa, was the fact that most decisions made, were based on interests and tastes of particular groups [lobbies].",tastes,sentiment,low-medium,positive,,,
177,"Concerning the environmental protection issue, the emission of toxic and greenhouse gases, and warming up of the planet earth's climate too, which was somehow related to the [agenda of] Bonn Conference, America had relentlessly demonstrated its paradoxical [as published] [controversial] position and particular stance opposed to that of other developed states by her previous abandonment of the Kyoto Protocol.",position,arguing,low,positive,,,
178,"The second feature was that both conferences ended without effective result, and the decisions taken and resolutions adopted there lacked conclusiveness and were not operational.",decisions taken and resolutions adopted,intention,low-medium,positive,,,
179,"In the remarks made by these political leaders, one point is interesting and calls for reflection: if these leaders reject the interference of others in the condition and destiny of the poor nations, while present themselves legitimate and competent to make far reaching decisions for them, then it must be said that they are only the elected [leaders] of their own nation [people], and this does not entitle them to act as representative or legal attorney of all people worldwide!",decisions,other_attitude,low,,,,
180,"What, however, was most remarkable in the conferences in New York and Genoa, was the fact that most decisions made, were based on interests and tastes of particular groups [lobbies].",decisions,other_attitude,low,,,,
181,"But paying heed was not tantamount to endorsement of the demand launched by those countries; rather, the final result came out as a compromise solution and a relative back up by the majority group.",relative back up,other_attitude,low,,,,
182,"To recap, if there ever existed any possibility that at the conferences of New York and Genoa questions regarding: promotion of world security, improvement of economic conditions, defusing regional and global crises and conflicts, checking unleashed competition for rearmament, reduction of the gap between the mainstream and peripheral countries, and ... could be addressed and appropriate, serious, and worthy measures for their solution could be adopted, the opportunity was very easily lost and the meetings flopped completely.",the opportunity was very easily lost and the meetings flopped completely,sentiment,medium,negative,,,
183,"[Exclamation mark as published] In view of the criticisms, which have been made, they could perhaps be also considered to be the representative of powerful corporations that have placed the whole ""world economy"" under their influence, and as a result of that they are also controlling the world of politics globally.",criticisms,sentiment,medium,negative,,,
184,"As regards the recent conference (Bonn Meeting), although the past gatherings like the Hague meeting and Kyoto conference have proved to be failed experiences, nevertheless as the climatic and atmospheric crises are growing more serious, one can be optimistic and hopeful about the success of such protocols and pacts, and implementation of the agreements, even though they are not protected by any sanctions.","one can be optimistic and hopeful about the success of such protocols and pacts, and implementation of the agreements",sentiment,medium,positive,,,
185,"After two weeks of discussion and exchange of views at the New York Conference, it was decided to pay heed to the resolute demands advanced by the majority of the participants, who emphatically insisted on the imposition of a ban on the sale of light weaponry.",discussion and exchange of views,other_attitude,low,,,,
186,The joint demand and stand by the majority of countries attending the conference was encountered by firm opposition by the United States [of America].,demand,sentiment,medium-high,positive,,,
187,The joint demand and stand by the majority of countries attending the conference was encountered by firm opposition by the United States [of America].,stand,arguing,low,positive,,,
188,"But paying heed was not tantamount to endorsement of the demand launched by those countries; rather, the final result came out as a compromise solution and a relative back up by the majority group.",paying heed,other_attitude,low,,,,
189,The first was that large and numerous bodies of dissidents were opposing the wishes and interests of a small but powerful group.,wishes and interests,sentiment,low-medium,positive,,,
190,"""At the least the difference between some estimates clearly 
shows a great deal more talking and assessment is needed,"" 
Reuters quoted Prescott as telling the delegates, who 
represented both business and environmental groups.",assessment,other_attitude,low,,,,X
191,"Prescott, Britain's front man in pushing the accord, said the 
United States until recently was critical of the science that 
led to the Kyoto pact but has now accepted it, and he remains 
optimistic that the goals of the United States and of other 
signatory nations would converge.",goals,intention,low-medium,positive,,,
